datetime,y
2022/2/27,4994
2022/2/28,6319
2022/3/1,5478
2022/3/2,4488
2022/3/3,2519
2022/3/4,2301
2022/3/5,7050
2022/3/6,4774
2022/3/7,1898
2022/3/8,2976
2022/3/9,3761
2022/3/10,3117
2022/3/11,5163
2022/3/12,8291
2022/3/13,1634
2022/3/14,3468
2022/3/15,387
2022/3/16,6069
2022/3/17,4764
2022/3/18,3610
2022/3/19,6851
2022/3/20,5832
2022/3/21,5131
2022/3/22,8440
2022/3/23,6517
2022/3/24,4494
2022/3/25,8375
2022/3/26,9110
2022/3/27,8500
2022/3/28,4438
2022/3/29,4016
2022/3/30,4748
2022/3/31,5612
2022/4/1,3600
2022/4/2,6551
2022/4/3,7875
2022/4/4,2181
2022/4/5,9115
2022/4/6,5340
2022/4/7,1996
2022/4/8,3982
2022/4/9,3986
2022/4/10,4302
2022/4/11,4183
2022/4/12,3404
2022/4/13,3238
2022/4/14,5907
2022/4/15,2338
2022/4/16,4555
2022/4/17,11002
2022/4/18,2604
2022/4/19,4457
2022/4/20,5147
2022/4/21,2748
2022/4/22,3372
2022/4/23,6295
2022/4/24,11002
2022/4/25,4027
2022/4/26,5314
2022/4/27,3591
2022/4/28,4309
2022/4/29,3265
2022/4/30,4973
2022/5/1,10025
2022/5/2,6159
2022/5/3,4689
2022/5/4,5369
2022/5/5,6944
2022/5/6,5345
2022/5/7,11100
2022/5/8,6217
2022/5/9,5493
2022/5/10,2509
2022/5/11,3314
2022/5/12,3222
2022/5/13,4163
2022/5/14,5591
2022/5/15,15942
2022/5/16,3250
2022/5/17,4828
2022/5/18,3102
2022/5/19,5595
2022/5/20,5753
2022/5/21,5411
2022/5/22,8773
2022/5/23,3636
2022/5/24,4405
2022/5/25,3991
2022/5/26,6076
2022/5/27,5857
2022/5/28,6254
2022/5/29,8785
2022/5/30,5295
2022/5/31,4248
2022/6/1,3208
2022/6/2,6883
2022/6/3,3499
2022/6/4,5645
2022/6/5,10948
2022/6/6,4234
2022/6/7,5376
2022/6/8,4563
2022/6/9,4667
2022/6/10,3601
2022/6/11,4522
2022/6/12,9393
2022/6/13,4036
2022/6/14,3719
2022/6/15,7394
2022/6/16,4770
2022/6/17,4455
2022/6/18,1558
2022/6/19,12484
2022/6/20,5124
2022/6/21,3091
2022/6/22,4605
2022/6/23,2707
2022/6/24,3881
2022/6/25,3538
2022/6/26,11020
2022/6/27,4750
2022/6/28,3763
2022/6/29,3519
2022/6/30,3021
2022/7/1,4110
2022/7/2,0
2022/7/3,16657
2022/7/4,4547
2022/7/5,3216
2022/7/6,3352
2022/7/7,4951
2022/7/8,3360
2022/7/9,7162
2022/7/10,9810
2022/7/11,3325
2022/7/12,5635
2022/7/13,5001
2022/7/14,4601
2022/7/15,5479
2022/7/16,9354
2022/7/17,0
2022/7/18,7496
2022/7/19,6877
2022/7/20,5834
2022/7/21,10222
2022/7/22,1634
2022/7/23,5923
2022/7/24,6933
